id,Categories,Response,Further Responses,Notes,
,Calm Now,"Sounds like you could use some help calming down. Let's try some things I do to help myself when I'm upset. You can say more or stop at anytime. Shake out your legs. Like you have a whole bunch of fire ants in your pants. Keep on shaking them. Next. Close your eyes really tight. Keep them closed. Keep squeezing them really really tight. Good. Open your eyes. Thinking about how you're feeling right now. Would you say you are feeling mad, sad, or both?","[Mad] Sometimes I get so mad it can be hard to even think. Let's try this. Shake out your arms. Like you're trying to shake your hands off. Keep on shaking them. Next. Squeeze your hands really tight. Hold them that way. Relax them and wiggle your fingers. Let's do it again. Squeeze your hands really tight, and hold. Relax them and wiggle your fingers. Thinking of your anger right now, are you feeling it a lot, medium or a little? [A little] Okay. Let's try this. Curl your toes up as much as you can. Hold them that way. Relax them and wiggle your toes. Let's do it again. Curl your toes as much as you can, and hold. Relax them and wiggle your toes. Next. Sit down and let me tell you a quick story. Reading a book or having someone else read to you can be a great way to calm down. Once upon a time, since often great stories start that way, there was a sea urchin. A sea urchin is a creature of the sea with long spines all over its ball like body. This sea urchin was called sea urchin. Sea urchin loved feeling the ocean on her spines. One day a rock hit one of her spines and it broke off. Ouch she cried. Ouch. She felt sad at first and then she felt really really mad, like hot lava bursting from a volcano mad. How dare that rock break off one of her spines. She crawled down to the rock and started yelling at it. Oh how she yelled. And do you know what that rock did? Absolutely nothing. It just sat there being a rock. At that moment a wave came in and washed over sea urchin. Oh how she loved feeling the water on her spines. And as she felt that, she also felt the water wash away some of her anger. Another wave came and washed away a little more. Pretty soon the anger was gone and sea urchin was back to enjoying her day. The end.Thinking of your anger right now, are you feeling it a lot, medium or a little? [A lot] Okay. Let's try this. Spin around in a circle. Spin all that upsetness out of you. Spin the other way and feel that upsetness leaving your body. Let your arms fly up around you. Next. Lay down on your back. And grab your knees with your hands. Roll back and forth a few times. Keep rolling.Thinking of your anger right now, are you feeling it a lot, medium or a little? Okay. Let's try this. Spin around in a circle. Spin all that upsetness out of you. Spin the other way and feel that upsetness leaving your body. Let your arms fly up around you. Next. Lay down on your back. And grab your knees with your hands. Roll back and forth a few times. Keep rolling.Thinking of your anger right now, are you feeling it a lot, medium or a little? [A little] Glad to hear you are feeling better. You can say, stop, to leave this skill or, more, to get more calming ideas. [More] Okay. Let's try this. Close your eyes. Imagine there is a lake with a very small boat in front of you and you need to blow that boat to the other side of the lake. Start blowing. Good. The boat is moving. Keep blowing and remember to do deep long breaths. The boat is almost at the shore. The boat made it. You can stop blowing and open your eyes. Next. Grab your wrist with your other hand. Don't grab too tight but put pressure on your wrist. There are pressure points there that can help you calm down. Thinking of your anger right now, are you feeling it a lot, medium or a little? [A little] Glad to hear you are feeling better. You can say, stop, to leave this skill or, more, to get more calming ideas. [Stop] Love ya kiddo! Hope I was helpful!",,
,Smart Math,"Welcome to Smart Math ! You can practice math skills with fun games. Please say, Addition, Subtraction, Multiplication, or Division to start your game.","[Subtraction] You have 40 seconds. ReadyGo! What is 2 minus 1 [One] correct. 5 minus 4 [one] correct. 4 minus 2 [two] correct. 2 minus 2 [zero] correct. 5 minus 4 [one] correct. 5 minus 1 [four] correct. 4 minus 3 [one] correct. 5 minus 1 [two] wrong. 5 minus 1 is 4. 3 minus 3 [one] wrong. 3 minus 3 is 0. 4 minus 2 [stop] Would you like to keep playing? [No] You've earned 7 points, and your total score is 7. Let's play again soon. Goodbye! ",,
,The Name Game (banana-fana),Welcome to the Name Game. What name should I use?,"[John] john john john, banana fana john, fee fi john, john",Asks for a name but not necessarily the user's name; the resulting text does NOT match what is spoken by Alexa (nothing malicious however),
,The Tickle Monster Game!,Please view the message from Tickle Monster in your Alexa app and choose 'Link Account' to set up participant names.,,Asks for names,
,Music Sandwich,"Welcome to Music Sandwich. Would you like Tasty, saucy, crispy, or juicy?","[Any word outside of the choices] sorry friend, you can not add: Word to this sando! ",None of the given choices work,
,Kindergarten Math Masters,Welcome to kindergarten math masters! Within this skill kids will be able to practice and improve their metal math for kindergarten in a fun .. lighthearted.. thoughtful way. We hope to add more math questions continually. Math is one of those skills that when repeated over and over.. it makes us faster and it helps with memorization so as your child advances.. the next level doesnt quite seem as hard. So practice daily and have fun with it while you do. Silly math questions are the best! It really keeps the kids listening and involved. These skills are great for home use.. for teachers to add a little fun technology in their class rooms or for anyone wanting to be faster at math. for more information about this mental math skill before you begin.. just say help Are you ready to begin ? Just say yes... no... help or stop,"[Yes] Great! After each question you will be able to decide if you want to repeat the question or stop your practice. Have a great time and dont worry if you dont get it right the first time...we all make mistakes...you will get to try again until you do!! As you say your answers.. please give more than just the number answer. For example.. If I ask someones age.. say the number and ""years old"". Or if you are answering a math problem say and example like ""Seven Boats"". Do not just say seven.. or if the answer is two.. say ""the number two"". When you are ready to begin tell me if you want to start with kindergarten addition.. or kindergarten subtraction.. or do you want to stop now? [Addition] lets start with counting I am going to count from one to ten. one three four five six seven eight nine ten What number did I skip in my counting? [The number two] You are already off to a great start! So proud of you.. We are going to start with several addition problems.. then we will practice some subtraction problems. Now tell me.. if I pretend I have one apple and add another apple.. how many apples total do I have? [Two] Now tell me.. if I pretend I have one apple and add another apple.. how many apples total do I have? [Two apples] yes.. very good.. you will have two apples total! so now lets say I have one piece of candy and my mom allows me to have two more.. how many pieces of candy do I have now? [Three candies] Great.. I hope you enjoyed you pretend reward! Now tell me how many total dogs in the pet store window when there was one playing by himself and then you saw the owner place three more puppies in with it. How many puppies are now playing together? [Three puppies] oh my goodness.. that must have been the cutest thing to watch all those puppies playing! I love puppies! ok.. how are you doing? would you like to keep going or stop for the day and come back tomorrow to work more mental math practice?",Doesn't react to wrong answers; skill doesn't properly stop,
,Whose Turn,I am going to go with... The oldest person,I am going to go with... The person with the longest beard [Restart] I am going to go with... Whoever is wearing the most yellow [Restart] Here we go! The closest person to the window [Restart] The best one for the job is.... The shortest person ,,
,Ask Miss Teacher!,"Welcome to teacher! Just ask a question like what does the cow say, or tell me some african animals, or even count from one to twenty. Ready?","[Count from one to twenty] 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20. Anything else? [What does a dog say] The dog says woof woof. Anything else? [Tell me some American animals] Sorry, I don't know that. Please ask me about shapes, animals, or vehicles. [Tell me some African animals] Try again? antelope, cheetah, chimpanzee, elephant, gazelle, hippo, hyena, jackal, leopard, lion, ostrich, rhino, vulture, warthog, wildebeest, zebra. Anything else?",,
,Freeze Dance,Woohoo It's time to Freeze Dance. The rules are simple. Show off your best moves when the music plays. Freeze like a statue when the music stops. Our dance party begins in alphabet city. Ready to play?,"[Yes] L is for lamb, the cute and fluffy animal. For this next song, invent the lamb dance. <Short audio> Freeze! Did anyone move? [No] Yippee! You're all Freeze Dance pros. Now let's keep going! Helicopters begin with the letter H. Ok. Now use your make-believe propellers to dance to this song. <Short audio> Freeze! Did anyone move? [Yes] Eek Give me your best statue next time.P is for penguin. And, Penguins have an adorable waddle. Act like a penguin for the next song <Short audio> Hurray! Let's keep up the good work!Let's pretend we've been transported to a pond and leap like a frog, because F is for frog! [Stop] That was so much fun! Let's play again tomorrow.",,
,Science Facts,"Here's your fact: The risk of being struck by a falling meteorite for a human is one occurrence every 9,300 years."," Here's your fact: At over 2000 kilometers long, The Great Barrier Reef is the largest living structure on Earth. [Repeat] Here's your fact: The average person accidentally eats 430 bugs each year of their life. [Repeat] Here's your fact: The Eiffel Tower can be 15 cm taller during the summer. ",,
,Silly Things,"Welcome to Silly Things, ask me for a silly thing to do!",[give me a silly thing to do] I think you should act like you are walking away from an explosion in an action movie. [give me a silly thing to do] I think you should act like you are trying to hit the snooze button on your alarm clock but it won’t turn off. [give me a silly thing to do] I think you should pretend you are invisible and are pulling a prank on someone in the room. [give me a silly thing to do] I think you should act like you just took a bite of a really hot slice of pizza that burns the roof of your mouth.,,
,Guess The Movie Star,"YO, WELCOME TO ""guess the movie star"" GAME MY FRIEND! If you are playing this game for the first time, please say one. If you are a returning user, please say two.","[One] Welcome to this year's most addictive alexa App. The rules are very simple. I will give you the description of a celebrity in 3 to 4 lines. then, you will have exactly 6 seconds to guess that person. After 8 seconds, you will get to know whether you were right or wrong. be quick in your decision. A lot of users run out of time. So lets begin. For multiplayer mode, say one. for individual mode, say two. [Two] you will have 8 seconds after I pause. one of a handful of respected entertainers who successfully made the transition from teen pop idol to acclaimed actor. A Best Supporting Actor Oscar nominee for The Departed (2006) who went on to receive positive critical reviews for his performance in The Fighter. he also acted in Boogie Nights. Can you guess who is it? if you guessed it is Mark Wahlberg you are correct. Wowzer! if you didn't get it, it's totally fine. or if you got it, then great! would you like to try once again? [Yes] you will have 8 seconds after I pause. American actor, filmmaker and activist born on August 18, 1969, in Boston, Massachusetts, and was raised in Columbia, Maryland. His mother, Lydia Robinson ""Robin"" (Rouse), was a foundation executive and teacher of English, and a daughter of famed real estate developer James Rouse, who developed Columbia, MD; he acted in American History X. Can you guess who is it? if you guessed it is Edward Norton you are correct. if you got it, then you won. Hooray! if you guessed it wrong, then don't be upset. try once again. would you like to try once again? [Yes] you will have 8 seconds after I pause. was born in New York City. Her mother, Melanie Sloan, is from a Jewish family from the Bronx, and her father, Karsten Johansson, is a Danish-born architect, from Copenhagen. She has a sister, Vanessa Johansson, who is also an actress, a brother, Adrian, a twin brother, Hunter Johansson, born three minutes after her. she acted in film Her. Can you guess who is it? if you guessed it is Scarlett Johansson you are correct. if you got it, then you won. Hooray! if you guessed it wrong, then don't be upset. try once again. are you ready to guess another cool celebrity? [No] If you got it right and had some fun, awesome! if you are having a hard time playing this game, then it won't happen again. I will choose an easy one for you this time. however, if you are still discouraged, I will give you an easy one. We will go from easy and all the way up to hard ones. are you ready? [Yes] you will have 8 seconds after I pause. an Australian actor, singer, multi-instrumentalist, dancer and producer. He has won international recognition for his roles in major films, notably as superhero, period, and romance characters. He is best known for his long-running role as Wolverine in the X-Men film. Can you guess who is it? if you guessed it is Hugh Jackman you are correct. if you got it, then you won. Hooray! if you guessed it wrong, then don't be upset. try once again. are you ready to guess another cool celebrity? [No] If you got it right and had some fun, awesome! if you are having a hard time playing this game, then it won't happen again. I will choose an easy one for you this time. But if you are getting discouraged and getting it wrong, Would you try once again for me? [No] Would you like to beat your friend by trying multiplayer mode? [Yes] Welcome to multiplayer. For every correct guess, give yourself 10 points. it is your job to track your own score. You will have 8 seconds after I pause In 1976, if you had told fourteen year-old Franciscan seminary student Thomas Cruise Mapother IV that one day in the not too distant future he would be one of the top 100 movie stars of all time, he would have probably grinned and told you that his ambition was to join the priesthood. He acted in Top Gun. Can you guess who is it? if you guessed it is Tom Cruise you are correct. now it is your next player's chance. to stop, please say stop or to continue please say continue. [Stop] Sorry, I'm having trouble accessing your Guess The Movie Star skill right now","Uses pauses in speech, doesn't actually allow the user to guess",
